Annotator1	Annotator2	Annotator3	label	text clean	index
4	4	4	1	vaccini: sileri,verosimile ripeterli ogni anno link	B204
5	1	1	0	user user il 40% di ricoverati è vaccinato non vuole dire che il 40% di vaccinati è ricoverato. le due affermazioni sono molto diverse! mi sembra che in tanti stiano equivocando…	B355
1	3	3	2	tutti leoni e poi si cagano sotto...e fanno le corse per fare il vaccino	B193
4	5	3	1	insomma, uk segue israele e vuole introdurre il pass vaccinale per l'accesso a pub, ristoranti, teatri, etc. esenzione solo per ospedali e supermercati.  questi sono i due stati più avanti con le vaccinazioni.   poi non dite che non ve l'avevo detto. link	B48
4	4	4	1	biontech e pfizer hanno sviluppato un vaccino per la variante delta e vogliono verificarne l'efficacia. le aziende chiederanno l'autorizzazione alla food and drug administration statunitense per una terza dose di richiamo, ma per l'fda due inoculazioni sono sufficienti.	B423
3	3	3	2	cosa succederà? i dati #covid miglioreranno ancora e beccamorto user frenerà, incatenando e chiudendo il paese con l’avallo di user_chigi che la mena con i #vaccini. a quel punto user reagirà? di sicuro il popolo insorgerà furiosamente. #dittaturasanitaria	B120
3	3	3	2	persino la dottoressa bolgan trova che l'unico modo per uscirne sia la disobbedienza civile. i vaccini sono l'opposto di quello che vogliono farci credere. link	B403
5	4	4	1	non ci capisco più un cazzo.(magari non da ora).il gp durerà 12 mesi ma l'effetto vaccinazione dura 6 mesi,max 8,sennò perchè parlare di 3° e 4° dose?.vorrei che mi si chiarisse.	B301
4	3	3	2	india  uomo muore appena dopo aver ricevuto la prima dose del vaccino covid   man dies shortly after taking first dose of covid vaccine in angul  link	B72
3	3	3	2	"user chissà perchè omettono sempre il fatto che c'è stata una vaccinazione poco prima del decesso..""nessuna correlazione "" però se muori in un incidente stradale e sei risultato positivo(falso probabilmente, visto che fanno più di 20 cicli di pcr) ,diventi magicamente un morto covid."	B419
3	5	3	2	il vaccino lo farei a loro! veramente è non per finta! 👎👎👎	B470
1	1	1	0	user_s 7/1.000 + 1/10.000.000 = 7,0001/1.000 = 0,70001/100.  cioè, se, e sottolineo se, fosse vero che i vaccini provocano 1 morto ogni 10 milioni di vaccinati (sono +o- questi sospetti, giusto?), la tua probabilità di morire aumenterebbe dello 0,00001%. più facile che trombi brad pitt.	B493
1	1	1	0	a questo punto però c’è da aspettarsi anche il titolo “muore all’improvviso, una settimana fa aveva prenotato il vaccino #astrazeneca” link	B84
3	4	4	1	chiedete a #vaia del vaccino #reithera #spallanzani #domenicain. confidiamo in #giovannabotteri	B271
4	4	1	1	👉 per raggiungere la vaccinazione globale da #covid19 è stata sollecitata la deroga alle norme sulla proprietà intellettuale previste dell’accordo di marrakesh #wolterskluweritalia #coronavirus #vaccini  link	B477
6	3	3	2	nessuna correlazione, ma un nesso c' è.  a chi è morto un caro ucciso dal vaccino non girano le palle neanche un po'?	B141
1	1	1	0	speranza: “entro l’estate tutti gli italiani vaccinati, questo è l’obiettivo” | video link via user	B26
3	3	3	2	user e se questi vaccini non fossero sufficienti in futuro (viste le varianti) ??? ci aggiungiamo ulteriori altri vaccini ?? ma per piacereeeeee..........!!	B468
3	5	3	2	prima di covid, qualcuno ha chiesto se le infermiere erano vaccinate contro l'influenza? no, pensavo di no. eppure l'influenza è mortale per certi gruppi di persone. l'#ipocrisia è reale &amp; è fastidiosa. gli amanti delle maschere hanno mostrato i loro veri colori. sono dei ...👇	B97
3	3	3	2	uomo del nj in ospedale con covid dopo essere stato completamente vaccinato.  ma almeno ha il suo passaporto, giusto? #earlytreatment is the key! link	B35
3	1	3	2	medico: “astrazeneca causa coaguli di sangue”. norvegia non riprende vaccinazione link	B428
3	3	3	2	"""ci stanno somministrando un vaccino ancora in sperimentazione, secondo l'agenzia del farmaco cinese è potenzialmente pericoloso"" ▷ prof. leopardi link"	B388
4	4	4	1	fauci, stiamo lavorando a vaccino anti-covid in pillole link	B219
1	4	1	0	oh sentite io mi sono truccata figa, magari rimorchio qualche militare al vaccino	B491
3	3	3	2	user sicuramente non accetterò mai #pfizer 👇 link fin'ora non ho letto nulla di simile sul #vaccino #sputnik  qualcuno che ne sappia più di me ? link	B12
1	1	1	0	covid, persi oltre 9mila posti di lavoro in abruzzo: “avanti spediti con campagna vaccini” link #abruzzo	B270
1	1	3	0	user user_vanpelt a breve sarete tutti sistemati con il vaccino obbligatorio.	B502
3	3	4	2	cosa non ci hanno detto in italia sui vaccini😱   link	B27
3	3	3	2	user è legittimo essere contro il vaccino. non buttare fumo negli occhi.	B143
1	1	1	0	user user user e quindi? i vaccinati nel 95%/99% dei casi non avranno bisogno di 300 euro di cure da cavallo e 20 mila euro di terapia intensiva.	B304
1	1	1	0	user_lorenzo user user user se non sei vaccinato non entri nei luoghi pubblici non sali nei mezzi pubblici te ne stai per conto tuo e non calpesti il diritto degli altri a non subire la tua violenza sulla base di un presunto diritto che non esiste .	B305
4	4	4	1	astrazeneca e mix vaccini, il cts respinge le accuse: “confusione non è colpa nostra”. ora il pressing del governo sulle mascherine link via user	B360
1	1	1	0	orgogliosa e grata ai nostri ragazzi in divisa che, come sempre, ci sono nel momento del bisogno.  generale #figliuolo avanti tutta con i vaccini noi di user_italia siamo al vostro fianco.	B199
1	1	1	0	ma quindi abbiamo davvero bloccato un vaccino per 30 trombosi su 5 milioni di vaccinati? #astrazeneca	B60
6	1	1	0	📯  la «categoria 4» finalmente!! (per età - da oggi i 55-59enni con esenzione per malattia cronica - ma prima di riaprire alle normali fasce d'età si faranno tutti i fragili over 60) now on user #fragili #vaccini #covid19 #lombardia link	B29
1	4	1	1	user il vaccino per il covid c’è, ma quello per la stupidità non l’hanno ancora inventato	B208
1	1	4	0	le farmacie veronesi sono tra le più virtuose a livello regionale per numero di inoculazioni effettuate: 3637 le dosi somministrate dall'inizio della campagna. vecchioni: «soddisfatti dell'apprezzamento da parte della popolazione».  leggi sul sito: link	B411
5	4	4	1	anche roberta aveva detto di non parlare di harry perche questa serata era dedicata a louis  voi harries rovinate… — madonna ma tutto bene hai fatto il vaccino  link	B250
4	4	4	1	vaccini: da lunedì le prenotazioni dei cinquantenni. 85mila dosi al giorno – ballabio news – quotidiano online di ballabio, morterone e piani dei resinelli link	B487
4	4	4	1	green pass, ricciardi: “solo per vaccinati e guariti, tampone non può bastare” link link	B408
1	1	1	0	user_patrizia una mia ex vicina di casa, gravemente obesa e diabetica, nonostante avesse la priorità del vaccino, non l'ha voluto fare. è in terapia intensiva in condizioni disperate. ma come si fa....	B300
1	5	4	1	non mi interessa quale vaccino mi fanno. mi piacciono sia la pfeiffer che la johansson.	B266
1	1	1	0	"come si chiama quella sensazione di quando vieni a sapere di un conoscente #novax della prima ora finisce in ospedale mentre i suoi parenti vaccinati non hanno neanche un raffreddore? ah sì, ""mi ride anche il buco del culo"". #vaccinazioni #covid19"	B374
3	4	3	2	byoblu:aumento delle infezione nei vaccinati. la svezia vieta l’ingresso agli israeliani   link 28	B136
5	4	4	1	ma se non si fanno le foto appena fatto il vaccino non funziona ?	B311
1	4	1	0	l'idea per il futuro di creare un vaccino che possa proteggere contemporaneamente da più coronavirus e più varianti del sars-cov-2. lo studio, in una fase molto iniziale e su animali, ha mostrato primi risultati favorevoli. link	B446
5	5	3	2	"user user “...l'ex ministro grillo ha detto che ""di vaccino non è mai morto nessuno""...  si riferiva alla bistecca..."	B262
1	1	1	0	. user qualcuno lo fermi perché ha perso il lume della ragione e lo dico da convinta sostenitrice dei vaccini	B154
1	4	1	1	user ma guarda..io mi fido ciecamente dell'operato dell'esercito, difatti ho scritto che approvo la nomina militare per i vaccini. non amo i militari significa che non amo la vita militare..e non credo sia un offesa	B453
4	4	4	1	vaccini, in piemonte si risolve il rebus dell'appuntamento per l'iniezione [di sara strippoli] [aggiornamento delle 08:00] link	B221
4	1	1	0	"vaccini, von der leyen: 'almeno 3 mesi per il passaporto ue'   ""vogliamo un passaporto verde a livello ue col quale si possa viaggiare liberamente, per affari e per andare in vacanza, oltre a godere finalmente di eventi culturali, e altro""  link"	B486
1	1	1	0	buongiorno user e roby!  finalmente ho smaltito il vaccino e oggi posso essere con voi come sempre!  #frenchgp 🇫🇷 #moto3 #motorzn user_it	B142
4	4	4	1	user già che siamo in argomento qualcuno potrebbe spiegare perché la user è penultima per la vaccinazione degli ultraottantenni affidata fin da subito  e giustamente ai medici di famiglia? user user	B238
4	4	4	1	bergamo e brescia l’annuncio di bertolaso: da domani vaccini a 30 mila persone over 60 il bollettino: 318 i morti - a brescia 901 casi - #bergamo #brescia #l’annuncio link link	B331
1	4	1	0	user però a parte i no vax ci sono altre problematiche. te lo dice un vaccinato, con unica dose di pfizer in quanto guarito 5 mesi prima della vaccinazione. del green pass nemmeno l'ombra. e non c'è verso di fare la seconda dose. benvenuti nel limbo	B364
4	5	1	1	angela da mondello si è vaccinata! così finiscono i miti!	B488
6	5	4	1	tutti gli errori europei sui vaccini - bisognava fare le scelte giuste e restare uniti ma... link	B188
1	1	1	0	user inoltre a fronte degli anziani over 80 e dai 70 ai 79 anni che è la fascia meno vaccinata e qui bisogna correre davvero bisogna fare una vaccinazione parallela con farmacisti cliniche privati per la popolazione più giovane dai 18 anni in su che è fondamentale vaccjnare	B429
1	4	4	1	user user user_claudio un virus muta in modo casuale a prescindere dai vaccini, e le varianti più contagiose diventano dominanti. le vaccinazioni sono iniziate in uk in dicembre, link la variante alpha fu scoperta in novembre da campione preso in settembre. link	B343
3	3	3	2	ci arrivano piano piano a dire #vaccino #covid obbligatorio per tutti, dalla nascita ai 125 anni ma dategli un paio di mesi. tanto ormai vaccinano pure durante la gravidanza, poi passeranno agli animali vedrete. e quello sarà il momento che i #fruttariani diventeranno tantissimi.	B313
4	1	1	0	impoante risoluzione del consiglio d’europa : vaccini per tutti senza discriminazioni di ogni genere link	B115
4	4	4	1	user mi piacerebbe essere contadino  in ogni caso in una comunità si può esprimere il proprio gradimento o critica. e in una comunità europea non ha senso che ogni nazione vada per la sua strada tra vaccinazioni e chiusure. ci vorrebbe uniformità,oppure ciao europa	B21
3	3	3	2	"l'#autopsia su francesca tuscano, l'#insegnante di 32 anni deceduta il giorno di #pasqua, ha confermato la #morte per un quadro ""#trombotico ed emorragico cerebrale"". alla giovane era stato inoculato il #vaccino #astrazeneca il 22 marzo. al momento non sarebbero emerse anomalie. link"	B434
3	3	3	2	user user__ no, sono sperimentali, leggi il bugiardino e vedrai cosa scrivono. sono vaccini sperimentali somministrati in larga scala per via della pandemia.	B105
1	4	1	0	user_grim 1. per alcune categorie di lavoratori il vaccino (antitetanico) è già obbligatorio. 2. il datore di lavoro è responsabile della salute dei lavoratori e rischia di andare sotto processo se qualche lavoratore si prende il #covid sul luogo di lavoro. continua	B499
4	4	3	1	user user user solo a parole, usa e gb si sono accaparrate il 250% dei vaccini necessari alla loro popolazione, molti paesi non hanno visto ancora una fiala, astrazeneca prodotto in india non autorizzato in eu	B43
4	4	3	1	ma i vip/politici lo sanno che possono fare il vaccino anche senza darci la prova con i selfie? viviamo benissimo anche senza.	B474
4	4	4	1	"“a palermo c’è una evidente escalation dei contagi, in particolare per la diffusione delle varianti, più aggressive. abbiamo i primi casi di virus in soggetti già vaccinati."""	B62
4	4	4	1	"gds: ""#sicilia. vaccini in farmacia, si parte il 15 luglio"" link"	B64
4	4	3	1	user una domanda, come mai il contatore delle vaccinazioni riporta una cifra di circa un milione di somministrazioni prime dosi in più rispetto alle statistiche ufficiali?	B89
3	3	3	2	user eh ma i vaccini sono indispensabili, ci salveranno da questo terribile raffreddore, dopo che tutti avranno avuto almeno 5 dosi	B370
5	4	4	1	user c’è stata molta politicizzazione in questa epidemia. il vaccino è diventato merce di scambio di voti, ed è stato sacrificato il diritto alla salute dei più fragili. questo è molto triste.	B412
1	1	1	0	mi hanno convocata per il vaccino e so felice	B521
1	1	1	0	user user_francesco user quindi non ti vaccini contro il tetano fino a che non muori di tetano perché in base alla tua esperienza personale il tetano non esiste. d'accordo.	B241
4	4	4	1	coronavirus, a matera continuano le vaccinazioni senza prenotazione link	B471
3	3	3	2	user user_0 la germania ordina e il mondo obbedisce...e non sto giustificando questa vaccinazione che non è altro che una randomizzazione forzata...ma dobbiamo smetterla di essere allocchi in ogni contesto!	B516
1	1	1	0	ad ottobre, quando ci rinchiuderanno nuovamente, ricordate che quel 30% in meno di efficacia del vaccino può comunque fare la differenza! quindi vaccinatevi! perché anche per delta, con il vaccino per lo meno non muoio, senza non so! sappiatelo! #greenpassobbligatorio #pfizerdown	B163
3	5	3	2	"ecco la prima denuncia contro la rai per la disinformazione su vaccini e cure domiciliari"" link 8"	B445
3	1	3	2	"il vaccinato infetta. e adesso come la mettiamo?"" link 10"	B405
1	1	1	0	nonni vaccinati, sono un po’ più sollevata❤️	B113
3	3	3	2	user_cersei i tre grandi paesi in forte crisi  di leadership politica,  usa, italia e francia , sono quelli con feroce controllo e persistente allarme sanitario. valido strumento  paradigmatico , vaccino  o pass, per limitare e condizionare le libertà dei cittadini ed inibire cambi di rotta.	B476
4	4	3	1	il livello di esasperazione è alto e domandare se si è vaccinati o meno sta diventando un'abitudine come chiedere una tazzina di caffè al bar. si parla sempre di privacy e protezione dei dati personali e poi in tv, te lo chiedono senza problemi. basta no? user user	B216
3	3	3	2	user_claudio appunto perché non si tratta di vaccino ma di una sperimentazione sull'uomo, sono dei veri tentativi di omicidi.	B85
1	4	1	0	"# user: covid, figliuolo: ""obiettivo tutti vaccinati entro l'estate"" link"	B9
3	3	3	2	#vaccinazioni #greenpass   chi si è vaccinato si è assunto consapevolmente dei rischi firmando una liberatoria. benissimo, dunque in base al ragionamento dei fanatici dei vaccini, le reazioni avverse vengano curate solo a pagamento.  #ultracorpi #iostoconborghi	B341
1	1	1	0	il governo prenda subito la decisione di rendere obbligatoria la vaccinazione! stiamo rischiando un blocco totale che farà molto male alla nostra economia, oltre che a tutti. smettiamola di essere ignoranti egoisti!link	B156
4	1	1	0	comunque domani torno giù a milano per la seconda dose del vaccino e poi risalgo in montagna tipo subito. sono già stanca al pensiero.	B244
1	1	1	0	i free riders del vaccino, ovvero gli scrocconi di libertà (di d. faraone) link #	B126
3	3	3	2	user tranqi che col vaccino ci dimezzano	B121
3	3	3	2	studio scientifico vaccini covid-19 .. forte risposta immunitaria infiammatoria, compresi polmoni e fegato .. . .. affaticamento, mal di testa, brividi, dolori muscolari, febbre e dolori articolari .. . .. intense reazioni infiammatorie e trombotiche .. link	B473
1	1	1	0	user vaccinazioni non se ne parla manco morti?  il lockdown è l'alternativa al vaccinarsi ... senza vaccini si va in lockdown ... con i vaccini il lockdown è una inutile vacanza!😡	B79
5	1	5	1	user user_iacoboni la metà dei no-vax che ho tra i contatti è grillina	B334
4	4	4	1	covid. al via due studi dell’iss per il monitoraggio immunologico post vaccinazione in italia link	B450
3	3	3	2	i pazzi under 50 che si fanno astrazeneca vanno fermati! governo di assassini!!!	B228
4	4	4	1	"15 milioni di dosi di vaccino j&amp;j buttati per un errore umano.  il tecnico di laboratorio minimizza: "" ho mischiato pfizer, j&amp;j, soda, lime e vodka e a me sembrava buono"""	B176
1	1	1	0	cari novax “ libertà di scelta”,  la vostra libertà finisce dove incomincia la mia di non essere contagiata da voi #novax	B151
5	1	3	0	dopo quella vaccinazione 56 anni senza nemmeno un raffreddore ! link	B122
3	3	3	2	link la proteina spike entra in circolo nel sangue e forti percentuali sono state riscontrate nella milza, nel cuore e nelle ovaie di coloro che si sono sottoposti al vaccino. un gruppo campione di 13 sanitari. 11/13!	B430
5	4	5	1	user tanto pure se tutti i fedelissimi del cav. si schierano ciecamente a favore dei vaccini non ci riescono a fare eleggere berlusconi presidente della repubblica. si illudono mentre vendono l'ultima fetta di culo di chi lo aveva votato	B513
1	1	6	0	ho letto abbastanza cazzate su #dedonno da parte di fascisti e novax.  adesso che lui ha compiuto l'estremo gesto, queste bestie cominciano con il solito tam tam complottista.  almeno per rispetto dell'uomo tacete una buona volta. strumentalizzatevi sto cazzo.	B31
3	3	3	2	user user user diffondere il più possibile, solo con le cure si blocca il vaccino.  1) erik grimaldi: terapia domiciliari precoci. 2) link  queste sono associazioni italiane che se fosse necessario basta contattarli per ricevere assistenza, e non chiedono niente in cambio	B281
1	4	1	0	user è impossibile prenotarsi, dopo un giorno intero di tentativi ho rinunciato, a questo punto uno che vorrebbe il vaccino cosa deve fare? ci fosse almeno a pagamento.	B457
2	3	3	2	ieri, una signora 82enne che conoscevo, in buona salute, è morta due giorni dopo il vaccino #pfizer, qui a cagliari. ci siamo mobilitati giustamente perché il #covid non uccidesse neppure una persona. dobbiamo fare lo stesso per i vaccini	B354
4	4	3	1	marsala: rissa per i vaccini covid clicca per leggere link	B5
4	5	1	0	a ora che il vaccino sarà disponibile per me lo venderanno a 2 euro e 50 dal tabaccaio	B177
4	3	3	2	user user zone rosse ora con questo caldo. l'anno scorso i vaccini non c'erano e ora che ci sono è la stessa minestra. ma andate a caxare.	B37
3	3	3	2	deve diventare famoso il dott. scoglio! laureato in legge, ma dedica la vita alle alghe. ha deciso di essere il candidato al nobel 2018, anche se nessun candidato al quel nobel sarà noto prima del 2068.  e vi parla della pericolosità dei vaccini.	B42
3	3	3	2	user tu che dici mariano... dove andiamo a finire così? mi chiedo sempre la stessa cosa: se il vaccino (che vaccino nn è, in quanto farmaco sperimentale dichiarato) è sicuro... che motivo hanno i vaccinati di stare allarmati? sono protetti no? come mai tutto questo odio per chi ha	B290
4	4	4	1	vaccini lazio, al via 'open week' astrazeneca per maggiorenni - adnkronos link	B229
3	3	3	2	user user ma se hanno detto (gliscienziati) che i vaccinati infettano ugualmente.... che si vaccinano a fare?	B449
2	4	1	1	user_pallina user i vaccini non ti impediscono di contrarre il virus, impediscono teoricamente di avere effetti avversi ad esso.	B500
4	4	1	1	auguro vacanze all'insegna della dissenteria per tutti quelli che si son vaccinati scavalcando anziani, immunodepressi e malati cronici.	B55
4	4	4	1	#cronaca #ultimenotizie vaccini in aziende, 2mln #astrazeneca in frigo - link - #tifosi #vaccino link	B159
4	1	1	1	appena ha saputo che non poteva entrare alla sagra della porchetta o al papeta #salvini si è vaccinato stamattina a milano - cronaca - ansa link	B175
4	4	4	1	campagna vaccinazione in cina: oltre 2 mld dosi somministrate   video link	B239
5	4	4	1	"sondaggio dentro la redacione di  ""la repubblica"" non è uno scherzo lì son così.....anche già tutti vaccinati!"	B302
3	3	3	2	user vaccinati in quanto codardi, ma non possono dirlo per non perdere la quasi totalità dei loro elettori.🤡	B236
1	1	1	0	è bellissimo sentire i commenti delle persone grandi sul momento della loro vaccinazione. servizio,gentilezza degli operatori sanitari e grande soddisfazione x avere ricevuto a loro tutela la salvezza. siamo in #emiliaromagna	B200
4	5	4	1	prima è mutato il virus, adesso su twitter mutano anche i vaccini. l'hashtag #astrazeneca diventa #astrazenaca e diventa virale.	B272
4	4	3	1	0,5% vaccinati media per tutta l'africa, 15-20% media europa dell'est. perche' temete l'immigrazione? moriranno tutti, no?	B465
1	1	1	0	vaccino, papa “strumento essenziale nella lotta alla pandemia” link	B264
1	1	1	0	"il vaccino limita i rischi e basta, sta cosa di ""è inutile che mi faccio il vaccino tanto sono tutti vaccinati "" è una stronzata"	B367
1	1	1	0	tutti voi che state ironizzando sul #deltaplus #deltavariant... ma l'avete fatta almeno una dose di vaccino? no perché nel caso non sareste nella posizione giusta per fare dello spirito.	B32
4	4	4	1	queste che vedete in fila sotto la pioggia sono decine di soggetti fragili in attesa del vaccino in fiera. basterebbero un paio di gazebo, ma la	B75
1	1	1	0	per l'ottimo andamento della campagna vaccinale voglio ringraziare marco travaglio. ogni sua lacrima sono sui 50mila vaccinati in più	B276
4	4	4	1	#sicilia, al via a #palermo il primo grande ‘hub’ per le vaccinazioni - video link	B100
6	3	3	2	penso che sia questione di tempo poi verra’ fuori davvero lo schifo che sta dietro questi presunti vaccini!!!	B164
