Annotator1	Annotator2	Annotator3	label	text clean	index
2	2	2	2	cari genitori ignoranti, non avete pi scuse! salvate i vs. figli da questa carneficina, le informazioni ci sono e questa  la prova! #lorenzin &amp; co hanno venduto i ns. figli alle #bigpharma per testare i #vaccini, cavie null'altro che cavie da laboratorio. link	A560
2	2	2	2	era il 28 settembre 2017 e l'onorevole ivan catalano presentava al ministro della sanit lorenzin un' interrogazione in merito al vaccino esavalente hinfanrix extra e alla morti in culla... naturalmente la signora non ha mai risposto ???? link	A802
0	0	0	0	coronavirus, burioni: bene terapia plasma, ma meglio il vaccino link	A629
0	4	0	0	volontaria vaccino smentisce fake news: `sto bene, non sono morta`  - tiscali notizie link	A1369
1	1	1	1	virus cina, scienziati usa al lavoro per vaccino link link	A1363
1	0	0	0	user user non ci sono contagiati perché siamo tutti in casa al sicuro. se dovessimo uscire tornerebbero i morti alle stelle. ancora non c'è sicurezza. ancora non c'è un vaccino.	A322
1	1	1	1	coronavirus, ema possibile disponibilità vaccino in un anno - europa - link link	A642
0	0	0	0	link l'immunità di gregge regge se c'è un vaccino garantito.	A850
2	2	2	2	user si purtroppo, dopo la telefonata conte gates negli ospedali di mantova e pavia dove la terapia da immunoglobuline ha salvato diversi pazienti sono intervenuti i nas, pare quasi una minaccia a cure alternative se non al vaccino gates. qui gatta ci ha covato	A283
0	0	0	0	atto di fiducia verso chi ... se non esiste un vaccino non so se è dura da capire che sarà così fino a che non si troverà vaccino ... forse l’atto di fiducia è per tutte le aziende e persone che lo hanno votato forse tra 1 mese richiuderà tutto creando più danni #coronavirus link	A520
0	0	1	0	"i bagnini di rimini: ""non ci sarà vacanza al mare finché non arriverà il vaccino"". turismo, giro d'affari ridotto di 1,2 miliardi link via user"	A869
1	1	1	1	#vaccino #modernainc  l'annuncio, ovviamente, è stato premiato dai mercati finanziari e a wall street l'azienda biotecnologica  americana guadagna il 23,78% a 82,73 dollari. - see more at: link  #covid19	A434
1	1	1	1	user user ad oggi è già stato somministrato ad oltre 320 volontari e potrebbe essere disponibile già a dicembre. si accelerano i tempi per il vaccino anti-covid al quale sta lavorando lo jenner institute della oxford university con la partnership dell’azienda italiana advent-irbm di pomezi	A228
5	5	1	0	che tenera la gente erborista-no-vax-antimicrochip che pensa che facendo una vita sana non ti può succedere niente.... poracci...	A566
1	1	1	1	trump vuole il vaccino per il coronavirus in esclusiva per gli usa, l’ira della germania: “sarà per tutto il mondo” #16marzo link	A1289
2	2	2	2	dopo il comprensibile dolore, spero che i parenti dei morti di covid 19 si facciano avanti per denunciare un eventuale nesso tra vaccino (anti meningite o influenza) e conseguente morte dei propri congiunti per covid 19. sarebbe di vitale importanza per salvare tante altre vite	A775
1	1	0	1	vaccino, test positivi in usa oms, in 100 chiedono un’inchiesta link	A1355
0	0	0	0	qualcuno no. e c'è chi lo ha capito, ma a un certo punto ha deciso di fregarsene. l'egoismo e l'irresponsabilità hanno prevalso. speriamo trovino presto una cura, speriamo trovino presto un vaccino. altrimenti non so come andrà. certo noi fragili resteremo a casa. ma non basterà.	A1179
0	2	0	2	interessante intervista ad un medico rianimatore che fa il punto della situazione sul #covid19: prevenzione, terapia, vaccino.  link link	A975
2	2	2	2	"#vaccino per #pasqualino . ""s' fatto il vaccino e adesso sta male""  nessun problema ragazzi,nessun problema..... link"	A436
2	2	0	2	#polmonite interstiziale associata al #vaccino #influenzale link	A419
0	2	3	2	"#covid19, #fauci: ""non torneremo alla normalità almeno per un anno. la soluzione vera è il #vaccino"". giusto il tempo che ci vuole per metterlo in commercio. link"	A392
1	1	1	1	che vi venga un colpo! ????????????????????????coronavirus, stampa tedesca: washington vuole l'esclusiva di un vaccino - rai news link	A568
0	1	0	0	che poi buona pasqua ormai è diventato “speriamo trovino presto un vaccino”	A565
2	2	2	2	mia nonna era medico e manco x 1 cavolo, si sarebbe   sottoposta al vaccino antinfluenzale! + invecchiava, e + era contraria. link	A1087
0	1	1	1	ma si continui ad aspettare “terapia efficace e/o vaccino” e nel frattempo vedere come va. nel frattempo potrebbe passare un anno, ma dettagli. anziché conviverci, dunque, e tornare gradualmente alla normalità, si continua a praticare un distanziamento sociale che lascerà	A1062
0	1	0	0	"d'amato: ""oggi registriamo un dato di 85 casi di positività e prosegue un andamento stabile sotto i 100 casi e un trend al 1,5%.  entro maggio saranno selezionati i primi volontari per la sperimentazione del nuovo vaccino per il #covid_19.  noi unica regione ad averci investito"" link"	A745
2	2	2	2	fa il richiamo vaccinale contro tre infezioni batteriche. muore a causa di un infezione batterica dopo aver fatto il vaccino.  colpa dell'infezione batterica spuntata dal nulla. come morire pugnalato,  colpa del coltello, ovvio ???? link	A805
1	1	1	1	il futuro secondo il virologo andrea crisanti (il vaccino non è certo) link	A915
2	2	2	2	come si combatte la polio presa dal vaccino?  ma  logico, con un nuovo vaccino mai testato!  #lascienza #sciencesays #invaccineswetrust link	A584
0	1	1	1	ma siamo sicuri?  user annuncia obbligo mascherine fino a vaccino.  se solo 1/4 cittadini uscisse quotidianamente nell'anno che manca, occorrerebbero 5,5 miliardi di mascherine chirurgiche usa e getta.  avrà  pensato a dove trovarle?  legittimo dubbio.	A1063
0	0	0	0	user quando vorrei che almeno in questa circostanza chiunque perfezioni il vaccino più efficace lo rendesse risponibile e gratuito per tutti....	A161
1	1	1	1	#coronavirus: pronta la mappa in 3d, utile a #farmaci e #vaccino è struttura di una delle armi del #virus user user user #ansascienza user link	A388
1	2	2	2	quattro paesi africani hanno riportato nuovi casi di polio.  peccato che questa sia vaccino derivata.  non capisco perch l'oms continui a dire che siamo vicini alla sua eradicazione quando, proprio attraverso i vaccini, stanno sorgendo nuovi ceppi. link	A1192
0	0	0	0	user io faccio il vaccino dal 2001. nel 2000 avevo avuto un’influenza terribile che non passava mai. ma nessuno ricorda l’asiatica del 1957?	A343
2	2	2	2	????#midariva se dici no alla vitamina k e rifiuti un #vaccino poche ore prima del parto, prima o poi, te la fanno pagare. dopo un anno: tso forzato alla moglie incinta che provoca un aborto e altre atrocit. la stanno facendo a pezzi questa famiglia. #dittaturasanitaria #demoni link	A6
2	2	2	2	questo  il foglio illustrativo  di un #vaccino chiamato tetravac, quello che avete fatto iniettare ai vostri bambini.  sapete che tutti gli ingredienti  di questi vaccini fanno venire il cancro la leucemia, l'encefalopatia, i disturbi del comportamento, ecc.   leggeteli per dio! link	A1202
1	1	1	1	"a favore o contro, è falso che sperimentazioni di possibili vaccino o farmaco contro #coronavirus sono rallentate da legge italiana ""restrittiva"" su test animali. la realtà del decreto 26-2014 è altra. speculazioni anti animalisti le rispediamo al mittente link"	A463
1	1	1	1	da personaggio più odiato di germania per ragioni legate al suo hoffenheim, il magnate tedesco potrebbe trovare riscatto grazie al vaccino contro il coronavirus al quale lavora la sua casa farmaceutica. alla presunta offerta di trump ha risposto picche. link	A748
2	2	2	2	user a bergamo e brescia c'è stata una vaccinazione di massa tra ottobre e novembre...questo spiega l'alta mortalità	A103
5	5	5	0	chiss se c'era pure qualche no-vax. chiss.  link	A570
2	2	3	2	"""valutazione del fallimento del #vaccino contro il morbillo a tianjin (cina)""  a bambini vaccinati con pi dosi, si verificano notevoli casi di morbillo a tianjin, con coperture del 97%.   necessario comprendere le ragioni del fallimento del vaccino.  link"	A45
2	2	2	2	rimaniamo in attesa di qualche suprcazzola di user per spiegare il fallimento del vaccino link	A1218
1	1	1	1	coronavirus, la corsa al vaccino: 118 candidati, 10 in sperimentazione clinica link	A664
2	2	2	2	trump: `il coronavirus sparirà da solo, non serve vaccino` link	A1292
2	2	2	2	post vaccino: disturbi di apprendimento, epilessia. i medici sapevano ma non dissero nulla alla madre. a voi giudicare. #vaccini link	A1167
0	0	0	0	avete capito adesso che questa è una tragedia è una sciagura spingete per il vaccino spingete fate qualcosa lottiamo per avere il vaccino e farmaci non pensiamo a colonizzare marte per favore!  #lariachetirala7   #covid19italia	A522
0	0	0	0	user non è il virus che ha perso forza, è l’uomo che è più “forte” a combatterlo. col lockdown, le mascherine, il distanziamento, le diagnosi precoci, le terapie più mirate..forse un giorno muterà e si trasformerà in un virus del raffreddore.  un giorno. forse prima avremo un vaccino	A190
2	2	2	2	pensavano a mettere il digital id (marchio sottopelle) assieme ai vaccini già dal 20 settembre 2020. casualmente è arrivato il virus (brevettato da bill gates), e il vaccino (creato da bill gates), imposto dall'oms (finanziata da bill gates). tutto normale, no?	A1145
2	2	1	2	questo studio dimostra come le piccole mutazioni della bordetella pertussis abbiano portato nel tempo (e in corrispondenza dell'inizio della somministrazione delle dosi massicce del vaccino a favorire l'insorgenza di ceppi di bordetella resistenti.. link	A1204
2	2	2	2	fate presto.????ebola prossima epidemia. ne sono certo, hanno predisposto i pezzi sulla scacchiera ?: immigrazione africana incontrollata, epidemie mediatiche di ebola in africa fermate con vaccino, vaccino pronto in milioni di dosi, europa al centro dellepidemia.???? link	A812
0	0	0	0	“il vaccino arriverà in tempi record” - la cronaca di verona link	A50
0	1	1	1	coronavirus: quanto manca al vaccino per il covid-19, l'annuncio link	A718
1	1	1	1	coronavirus, qual è il vaccino annunciato dal ministro speranza che potrebbe arrivare a fine anno link	A680
0	1	1	1	a fine aprile cominceranno i test sull'uomo del vaccino anti coronavirus via user link	A464
0	0	0	0	il globo deve unire i migliori virologi e finanziare ad alta scala studi e test per vaccino e cure subito #coronvirus	A917
1	1	1	1	vaccino covid-19, accordo europeo: 'presto in italia 15 milioni di dosi' link	A1329
0	0	1	0	coronavirus e seconda ondata: “le nuove infezioni sono inevitabili fino al vaccino” link	A606
0	0	1	0	"vaccino contro il covid-19 l'immunologo svizzero esce allo scopero: ""possibilità di successo"" link"	A1321
0	1	0	1	coronavirus: vaccino anti covid-19, è una ragazza la prima persona italiana a testarlo. ecco dove e come link #meteo via user	A720
2	2	2	2	invito alla vaccinazioneeee? ma vaccinatevi voi, i vostri figli, amici, conoscenti e parenti entro il quarto grado! link	A978
2	2	2	2	user ma per forza, come fai a fidarti di un vaccino creato in 3 mesi, quando una sperimentazione seria prevede dai 5 ai 10 anni.	A271
0	0	1	0	influenza, vaccino raccomandato e gratis per bimbi e over 60. ministero: &amp;laquo;anticipare a ottobre&amp;raquo; link	A968
2	2	2	2	link altro giro, altra corsa...muore bimba di due anni e mezzo nel sonno! loro la chiamano morte in culla...io invece omicidio causato da vaccino esavalente...	A858
0	0	0	0	dobbiamo pregare per dei farmaci efficaci,in attesa del vaccino #dimartedi	A772
2	2	2	2	#testimonianze salve a tutti sono la mamma di diego bimbo di 3 anni e mezzo affetto da autismo da quando il 10 ottobre 2017 all et� di 20 mesi feci fare il #vaccino #mpr (morbillo parotite rosolia)da li ebbe inizio tutto dopo 2 mesi il 24 dicembre 2017 si manifesta il	A424
0	2	3	2	ma la concomitanza di vaccino anti influenzale, e durante la cura, degli antivirali e l'intubazione, non hanno influito in nulla secondo il vs esperto?	A1058
2	2	2	2	user_sx_veg user user_cocco user user user user tu hai visto questo?  bambini indiani che hanno preso la paralisi flaccida da vaccino della polio?  ignorante pericoloso  link link	A99
5	5	5	0	pare che i #novax siano fuggiti tutti in groenlandia.	A1141
0	1	1	0	coronavirus, listituto migal disraele: siamo vicini al vaccino - la stampa link	A668
2	1	0	2	obiettivo settembre per il vaccino anti-covid | attualità oxford link #novaccino #fbclid=iwar0f7pau21rcmrfkcrsjyd6gs5ecogs1zlj0rcg7awwtsahuso6yiqcqica	A1125
0	0	1	0	alcuni scienziati temono che non si troverà un vaccino contro il coronavirus, e dovremo convivere con la minaccia del covid-19 link	A491
0	0	0	0	"a chi pensa  che i vaccini predispongano  al covid 19 faccio rispondere al professore claudio puoti a cui ho rubato la traduzione dal titolo ""vaccination and respiratory virus interference among department of defense personnel during the 2017-2018 influenza season"" link"	A461
0	0	0	0	"""capisco che tutti abbiamo voglia di tornare alla normalità. ma la normalità che abbiamo conosciuto non ci sarà più fino a quando non ci sara' un vaccino"". lo ha detto il ministro per gli affari regionali, francesco boccia."	A20
1	1	1	1	coronavirus ricciardi: “verso produzione del vaccino in italia in autunno le prime dosi” -  #coronavirus #ricciardi: #“verso  link	A612
2	2	2	2	global vaccine safety summit: le dichiarazioni degli esperti che mettono in dubbio sicurezza ed efficacia dei vaccini (sub ita) #invaccineswetrust #lascienza #scienceissettled  link	A830
1	0	0	0	ima, vacchi: «le macchine del gruppo per le dosi iniettabili del futuro vaccino» link	A955
0	5	5	0	il #diritttoallascienza ed ai suoi benefici quale #nuovodirittouniversale . allla faccia dei novax ! link	A899
2	2	2	2	danni da vaccino i dati occultati link di user	A752
5	5	5	0	(scusate l'ignoranza) mi spiegate l'utilità di far parlare panzironi in questo periodo così difficile(con la gente chiusa in casa) non bastavano le bestialità dei novax ascoltate negli anni scorsi #nonelarena irresponsabili!!!	A58
2	2	2	2	#dimartedì i karcerati vengono pagati per provare il vaccino ed anke per essere infettati. la libertà vale di più	A394
2	2	2	2	vaccino contro il coronavirus, militari e poliziotti: &amp;laquo;non vogliamo fare da cavie di laboratorio&amp;raquo; link	A1320
1	0	4	1	di domenica questa è il mio pensiero....debellare,sconfingere e non imparare a convivere...non esiste vaccino ma tutti proprio tutti assieme per mandare a casa il governovirus, un governo antitaliano, incapace che sta mandando l'italia al collasso.	A759
0	1	1	1	come nasce un vaccino ed a che punto siamo per il coronavirus? | | senza linea link	A582
1	1	2	1	l'ipotesi del #complotto riguardo al #coronavirus si è spostata sugli interessi delle ditte farmaceutiche #globali, che si starebbero dando da fare per produrre un #vaccino. a pagamento.  #coronaviruswuhan #coronavirusitalia  #globalizzazione  link	A993
2	2	2	2	user user in prima linea di che? di spendere miliardi da dare alle case farmaceutiche per un vaccino vje non servirà a niente? invece di buttar via soldi sul nulla li distribuisca agli italiani bisognosi	A251
1	1	1	1	coronavirus, primo test di un vaccino su un essere umano. si lavora anche ai farmaci link	A677
2	2	2	2	avete capito? non raccolgono dati perch gi lo sanno, il #vaccino pu causare #autismo. si affidano a chi si prostituisce alla pseudo #scienzah link	A523
2	0	5	2	#dovesonofinitiisivax  appello a tutti i #buriones  ok  il vostro momento, fatevi avanti. ????  un istituto di ricerca di seattle sar il primo nel paese a ospitare studi clinici per testare il vaccino contro il coronavirus su 45 persone. link	A397
2	2	2	2	#coronaviriusitalia visto l'inutile bufera (i dati e i virologi continuano a dire che è meno di un'influenza) cui il governo si è adagiato, non resta altro che pensare al dolo. di smerciare in futuro vaccino. se no non si spiega	A359
1	1	1	1	coronavirus. liguori (irbm pomezia): lavoriamo per produrre presto vaccino link	A724
1	0	0	1	la canzone �un poco di zucchero� � ispirata al vaccino contro la poliomelite. la figlia di robert sherman aveva ricevuto il vaccino e lui chiese se avesse fatto male, ma lei rispose �no, mi hanno dato solo una zolletta di zucchero e l'ho ingoiata�. #marypoppins	A1000
1	1	1	1	vaccino, test in italia in estate link	A1354
2	2	2	2	"intanto gsk e ""una speciale unit dellesercito statunitense in kenya"" starebbero ""eseguendo decine di migliaia di test su bambini e neonati in alcuni dei villaggi pi poveri del continente africano"" per sperimentare il #vaccino #antimalaria. link"	A973
2	2	5	2	"""perch ho bisogno di uno studio medico? se l'80% dei genitori di bambini con autismo regressivo nella mia pratica afferma che il loro bambino ha reagito dopo il vaccino mmr, perch ho bisogno di uno studio medico?"" dr. douglas hulstedt link"	A39
0	0	1	0	user_ viaggiare! anche se, credo ce ne voglia ancora per salire su un treno in spensieratezza. sarà tutto molto molto diverso, ancora per un bel po', diciamo fino a che sarà pronto il vaccino.	A171
3	2	3	2	occorre per approfondire nel dettaglio la questione per poter aver un quadro pi chiaro e non distorto, partendo da questa notizia: la morte di 2 bambini samoani di dodici mesi, dopo pochi minuti dalla somministrazione del vaccino mmr a savaii nel 2018.?? link	A1126
1	1	1	1	user speriamo solo quando troviamo il vaccino europeo, l'italia non lo vende in cina. l'italia ha venduto l'intero paese alla cina, il che causerà un problema all'intera ue.	A256
0	0	0	0	user bisogna avere il coraggio di trovare una strategia sociale ed economica per stare tutti a casa fino al vaccino senza dire cazzate e prendere tempo. nella mia regione ci sono stati più di tremila morti non penso che la gente è cogliona sa che mostro è ma vuole risposte economiche	A273
2	2	2	2	2.300.000.000 di persone obese 3.000.000 di morti per alcol allanno 700.000 morti per infezioni da batteri resistenti   ma un pensiero per il #morbillo e il #vaccino c sempre. quante dosi devono ancora smaltire le case farmaceutiche?  link	A452
1	1	1	1	burioni ma se prendiamo le cellule staminali di keith richards, mick jagger, steve tyler e della regina elisabetta, non ci viene un vaccino coi controcoglioni?	A554
2	4	2	2	america  ora ufficialmente un sistema di caste! il new jersey vota per la modifica della legge s2173 su #vaccine esenzioni per bambini ricchi delle scuole private! va bene ferire e uccidere i poveri - bianchi e neri - quelli che non possono permettersi le scuole private. link	A500
2	2	2	2	non solo i danneggiati da #vaccino esistono, ma lo stato  reticente nel pagare e viene condannato anche per danno morale! link	A1121
2	2	4	2	l'azienda pi� vicina alla scoperta del vaccino per il #coronavirus (anche via anticorpi monoclonali) sarebbe vir biotechnologies, finanziata da colui che preannunci� una pandemia gravissima (gates). da inizio anno azioni balzate del 100%, capitalizzazione di quasi 3 miliardi.	A990
2	2	2	2	argentina, 2012 la #gsk viene condannata per aver estorto, dietro pagamento, il consenso genitoriale durante i trial clinici di alcuni minorenni per un #vaccino antimalaria. quattordici bambini morirono durante la sperimentazione.	A510
3	4	2	2	#domandedasomaro 5) perch il governo usa metodi da #gestapo contro chi tenta di analizzare i #vaccini per verificare la loro sicurezza, ma protegge con ogni mezzo le ditte produttrici, addirittura le esonera da ogni responsabilit per danno da #vaccino??? link link	A396
2	1	1	1	ormai siamo quasi a maggio e dicono sempre 18 mesi per il vaccino, mi sa di presa in giro, ci aspetta un’estate con tintarella effetto museruola. #piazzapulita	A1135
5	0	1	0	“ho il sospetto che stavolta i no-vax si faranno vaccinare”. intervista a user da non perdere. link	A48
0	1	0	1	"video - coronavirus, ascierto: ""il tocilizumab funziona, vi spiego perchè, in autunno partirà a napoli la sperimentazione di un vaccino"" link"	A1360
0	0	0	0	user ho il voltastomaco: con la gente che muore si pensa ai concerti. pure a me mancano i concerti, le passeggiate, le cene, la socialità, i convegni, il teatro, il cinema ma senza una immunità (raggiunta o naturalmente o con un vaccino) tutto si trasformerebbe in suicidio di massa.	A297
5	1	0	1	anche oggi il circo  lo strappo del 2 giugno. salvini, meloni, gilet, no vax: la destra occupa la piazza  link	A503
0	0	0	0	user_gattaccio user_angela user fino a quando? spero poche settimane ancora. il mondo è cambiato, non ci saranno mai più stadi pieni, concerti pieni, locali pieni, non ci dovranno essere. i miei sono anziani, dovrò stare attento con loro finché campano. guanti e maschere temo fino al vaccino.	A267
1	1	4	1	#coronavirus. test animali bypassati negli stati uniti per la #ricerca di un #vaccino? no! facciamo chiarezza. #sperimentazioneanimale #covid19 link	A390
0	1	0	0	emergenza - sospesi screening oncologici e vaccinazioni contro il papilloma virus. è gravissimo [leggi, di adriana bonifacino]  link #edicola	A797
0	1	1	0	user purtroppo sarà lunga arrivare ad una cura o ad un vaccino.	A152
0	0	0	0	un anno e mezzo se va bene....in cina già passeggiano per strada. ora, tra cure e vaccino entro fine anno dovrebbe essere tutto risolto. i giornalisti si dovrebbero dare una regolata direi.	A1299
1	1	5	1	amici ho bisogno di un�info, i no vax che stanno dicendo di questo nuovo virus? se creano davvero il vaccino nei prossimi 3 mesi, se lo fanno o no?	A501
2	2	2	2	ma  meraviglioso! non appena l'oms annuncia la pandemia, che consente di vaccinare senza fare i test, ecco pronto il vaccino pi veloce del west! pronti a farvi bucare, topi italiani? ???? link	A1049
2	2	2	2	#ucrania, per carenza di #vaccino antimorbillo la copertura scende al 31% senza registrare particolari impennate della malattia. dopo una campagna di vaccinazioni che porta la copertura al di sopra del 90% si registra la peggiore epidemia di #morbillo. link	A426
2	2	2	2	i danneggiati da vaccino esistono e finch una sola madre dovr provare questo, non star zitta! #vaccini user link	A870
1	1	0	1	virus, garattini: `il vaccino potrebbe arrivare entro fine anno` - link link	A1365
2	2	2	2	morte da #vaccino. art. 5 convenzione di oviedo - un intervento nel campo della salute non pu essere effettuato se non dopo che la persona interessata abbia dato consenso libero e informato. usate i vostri diritti inalienabili. link	A1093
2	2	2	2	user user user  03 ....vaccinare tanta gente , questo non serve a nulla anzi il vaccino porta tantissimi decessi, avevo conoscenti che per il vaccino sono deceduti! quindi ...(04)	A194
2	2	2	2	sta cadendo il velo... #vaccini #vogliamogiustiziaeliberta link	A1256
1	1	1	1	user user user user user user_rezza user_brusaferro user_paren user pare però che il titolo anticorpale non sia sufficiente per dare immunizzazione da sars-cov2.	A200
1	1	1	1	coronavirus: coletto, l'università di perugia ha competenze per vaccino link di user	A704
0	1	0	1	i titoli di stato italiani sono ora (quasi) titoli spazzatura secondo 3 delle 4 agenzie di rating, il pil degli usa è sceso ai livelli della crisi del 2008 e si prevede che nel secondo semestre quest'effetto sarà più che quadruplicato. e non è ancora stato trovato un vaccino...	A890
2	2	2	2	danneggiati da vaccino..........!!!!!!!!!!!!!!!!!!!!!!!!!! risarcimenti ai danneggiati da vaccino, ora lo stato pagher di pi  il blog di gioia locati link	A751
1	3	1	1	il vaccino contro la varicella pu causare la meningite. link	A942
4	1	0	0	vaccino dove ti porta il cuore #cinenovax	A1337
1	1	1	1	covid-19: parte negli usa sperimentazione #vaccino a mrna | #ecm link	A739
5	5	5	0	no vax no ask no app si traduce in si racism, si fascism? perché molti di loro mi sembrano gli stessi.	A1109
4	1	2	1	nel #vaccino antinfluenzale quest'anno c' anche un po' di lattice per arginare il noto virus roccosiffredus. [_c.colombo] link	A1099
2	2	2	2	user user user user user user lei per delucidarci ci ha postato video di fazio. chissa perche tralascia, cosi come lo tralascia burioni, l'elevata mutabilita dei coronavirus che rende pressoche inutile la vaccinazione. gia adesso ve ne sono decine di ceppi.  tralascio affermazioni risibili su farmaci e plasma	A181
4	2	2	2	hai gi avuto il morbillo ?  uguale ,o fai il #vaccino deciso dalla #scienza o sei fuori dallasilo.  complimenti anche al sindaco di pisa (user) che non ha ancora fatto niente per evitare schifezze come queste. user regionali 2020 ci ricorderemo #vaccini link	A837
0	0	1	0	conte, mascherine finché manca vaccino link	A596
0	0	0	0	per me le palestre apriranno solo per chi avrà un appuntamento con un personal trainer. e' l'unico modo per avere entrate scaglionate e non creare assembramenti. per tornare al liberi tutti di prima bisognerà aspettare il vaccino, alternative non esistono.	A1152
0	0	0	0	"user ipotesi per assurdo:""0 casi,0 morti,liberi tutti,torna la normalità"" tutti a festeggiare:tra di noi ci sarà l'ultimo asintomatico inconsapevole che infetta tutti e ripartiamo da capo. la normalità tornerà al 100% quando ci sarà il vaccino"	A117
0	1	4	1	#drittoerovescio da quello che ha detto galli, una volta che si dovesse trovare il vaccino e non dovesse essere l'italia, chi avrà le possibilità economiche saranno i primi ad averlo e questo aggrava la nostra posizione e a maggior ragione gli altri tenteranno di affossarci,temo	A398
0	5	5	0	coronavirus, “novax” djokovic: “non voglio fare il vaccino, potrei non tornare in campo” link via user  è arrivato il primo cretino! prima ancora dell'arrivo del vaccino! la mente umana certe volte stupisce per le puerili paure dell'ignoto.	A618
0	0	1	0	coronavirus, un vaccino tradizionale funziona sugli animali link	A690
1	1	0	1	"la germania nega la vendita esclusiva del brevetto per il vaccino covid-19 all�america, perch� l�azienda tedesca produttrice metter� a punto il vaccino ""per tutto il mondo e non per singoli paesi"".  cio� i tedeschi sono i buoni questa volta, how the tables have turned"	A1007
2	2	2	2	user user i no-vax, per loro, sono il nemico da abbattere.   i no-vax, in realtà, sono i nuovi resistenti, i partigiani dell'oggi e del domani.	A109
2	2	2	2	user non ha una bella cera il caro e vecchio bill!  ne vedremo delle belle con questo vaccino della vergogna!  appuntamento in tribunale!	A154
5	1	5	1	#iorestoacasa ma ricordo il brindisi di #speranza dopo il referendum e #dimaio con i #novax ed i #giletgialli. il #coronavirus non cancella la memoria.	A403
1	1	1	1	il ceo di pfizer: `il vaccino per il covid-19 può arrivare entro ottobre` - link link	A910
5	5	1	0	adnkronos: madre no vax non gli dà farmaco contro influenza, bimbo muore a 4 anni. link	A478
2	2	2	2	sbagliate il vaccino non ci proteggerà ci farà prendere il covid ma in una forma più lieve invece la cura che ce l'abbiamo ci va sicuramente guarire e prima quindi cosa sondaggio non è andato a buon fine	A1224
0	1	1	1	user sono quasi sicura che, ora che tutto il pianeta è stato contagiato e che la “strizza” ce l’hanno tutti, troveranno in breve una cura per poveri e ricchi. poi arriverà il vaccino per l’autunno.	A167
1	1	1	1	vaccino, ecco perché non sarà per tutti. la sanofi ha già promesso le prime dosi agli usa link di user	A1352
2	2	2	2	user user user il vaccino è inutile . quindi si può affermare che se una cosa non serve a niente serve a qualcos’altro?	A260
1	1	1	1	sfida usa-germania sul vaccino e altre notizie interessanti link link	A1242
1	1	1	1	virus, l'epidemiologo lopalco: «vaccino, 118 prototipi. oxford, usa e cina in testa» link	A1366
5	1	1	1	i vecchi su facebook che carlo d’inghilterra, zingaretti, boris johnson, il principe alberto tutti guariti  i rikki hanno il vaccino gni gni gni massa di analfabeti funzionali voi dovete campare a pane e alici per sempre	A891
2	2	2	2	peggio che essere stuprata ???? link	A1143
0	1	1	1	user user_w user_tonii +++ il governo americano dichiara che il vaccino per il #coronavirus è già pronto e domani parte la sperimentazione clinica +++ link user user user_grim user user user_masala user user user	A220
0	0	0	0	"test #vaccino, parla il volontario: ""il peso del mondo su di me"" link link"	A1277
1	1	0	1	la produzione dei vaccini ha tempi lunghi di produzione e consegna: è strategica una programmazione stabilita con largo anticipo. sanofi produrrà il 20% di vaccino antinfluenzale in più, ma la domanda globale potrà superare l'offerta link #buongiorno #16giugno link	A1013
4	2	2	2	inchiodato bill gates, 2014 brevetta vaccino cov19. link di user	A965
